,UF,V0227,V0226,V02322,V4621,V4105
638,11,3.0,4.0,4.0,678.0,8
639,11,,2.0,4.0,63.0,8
640,11,,2.0,4.0,639.0,8
641,11,,2.0,4.0,333.0,8
642,11,,2.0,4.0,452.0,8
643,11,,2.0,4.0,650.0,8
644,11,,2.0,4.0,250.0,8
645,11,,2.0,4.0,166.0,8
646,11,,2.0,4.0,346.0,8
647,11,,2.0,2.0,969.0,8
648,11,,2.0,4.0,678.0,1
649,11,,2.0,4.0,678.0,1
650,11,,2.0,2.0,1000.0,1
651,11,,,,,1
652,11,,2.0,4.0,1089.0,1
653,11,,2.0,4.0,678.0,1
654,11,,,,,1
655,11,,2.0,4.0,678.0,1
656,11,,2.0,2.0,815.0,1
657,11,3.0,4.0,4.0,392.0,1
658,11,,2.0,4.0,678.0,1
659,11,,,,,1
660,11,,,,,1
661,11,,2.0,4.0,678.0,1
662,11,,2.0,4.0,1470.0,1
663,11,,2.0,4.0,359.0,1
664,11,,2.0,4.0,202.0,1
665,11,,,,,1
666,11,,,,,1
667,11,,2.0,4.0,700.0,1
668,11,,2.0,4.0,800.0,1
669,11,,,,,1
670,11,,2.0,2.0,2900.0,1
671,11,,2.0,4.0,700.0,1
672,11,3.0,4.0,4.0,700.0,1
673,11,,2.0,2.0,1000.0,1
674,11,,2.0,2.0,2000.0,1
675,11,,2.0,4.0,1430.0,1
676,11,,,,,1
677,11,,2.0,4.0,1916.0,1
678,11,,2.0,4.0,494.0,1
679,11,,2.0,2.0,1666.0,1
680,11,,2.0,4.0,680.0,1
681,11,,2.0,4.0,1000.0,1
682,11,,2.0,2.0,680.0,1
683,11,,2.0,2.0,0.0,1
684,11,,2.0,2.0,740.0,1
685,11,,2.0,2.0,890.0,1
686,11,,2.0,4.0,680.0,1
687,11,,2.0,2.0,1900.0,1
688,11,,2.0,4.0,1300.0,1
689,11,,2.0,4.0,3500.0,1
690,11,,,,,1
691,11,,,,,1
692,11,1.0,4.0,4.0,195.0,1
693,11,,2.0,4.0,720.0,1
694,11,,2.0,4.0,700.0,1
695,11,,,,,1
696,11,,2.0,2.0,350.0,1
697,11,,2.0,4.0,836.0,1
698,11,3.0,4.0,2.0,1749.0,1
699,11,,2.0,2.0,1200.0,1
700,11,,2.0,4.0,814.0,1
701,11,,2.0,4.0,602.0,1
702,11,,2.0,2.0,6900.0,1
703,11,,2.0,2.0,1209.0,1
704,11,3.0,4.0,2.0,473.0,1
705,11,,2.0,4.0,240.0,1
706,11,,2.0,4.0,2639.0,1
707,11,,2.0,4.0,233.0,1
708,11,,2.0,2.0,2333.0,1
709,11,,2.0,2.0,550.0,1
710,11,,2.0,2.0,0.0,1
711,11,3.0,4.0,4.0,115.0,1
712,11,,2.0,4.0,1089.0,1
713,11,,,,,1
714,11,,,,,1
715,11,,,,,1
716,11,,2.0,4.0,47.0,1
717,11,,2.0,4.0,999999999999.0,1
718,11,,2.0,4.0,226.0,1
719,11,,2.0,2.0,200.0,1
720,11,,,,,1
721,11,,,,,1
722,11,,2.0,4.0,1356.0,1
723,11,,2.0,4.0,187.0,1
724,11,,2.0,2.0,476.0,1
725,11,,2.0,4.0,226.0,1
726,11,,2.0,4.0,929.0,1
727,11,,,,,1
728,11,,2.0,4.0,235.0,1
729,11,,2.0,4.0,678.0,1
730,11,,2.0,2.0,1000.0,1
731,11,,,,,1
732,11,,2.0,2.0,678.0,1
733,11,,,,,1
734,11,,2.0,2.0,1333.0,1
735,11,,2.0,4.0,1356.0,1
736,11,,2.0,4.0,839.0,1
737,11,,2.0,4.0,892.0,1
738,11,,,,,1
739,11,,,,,1
740,11,,2.0,2.0,1250.0,1
741,11,,,,,1
742,11,,2.0,4.0,678.0,1
743,11,,,,,1
744,11,,2.0,2.0,660.0,1
745,11,,2.0,2.0,1356.0,1
746,11,,2.0,2.0,4169.0,1
747,11,,2.0,4.0,3800.0,1
748,11,,2.0,4.0,2700.0,1
749,11,,,,,1
750,11,,,,,1
751,11,,2.0,2.0,5000.0,1
752,11,,2.0,4.0,1000.0,1
753,11,,,,,1
754,11,,2.0,2.0,368.0,1
755,11,,2.0,2.0,958.0,1
756,11,,,,,1
757,11,,2.0,2.0,500.0,1
758,11,,2.0,4.0,433.0,1
759,11,,2.0,4.0,1266.0,1
760,11,,2.0,2.0,1980.0,1
761,11,,2.0,4.0,0.0,1
762,11,,2.0,4.0,600.0,1
763,11,,2.0,4.0,999999999999.0,1
764,11,,2.0,4.0,433.0,1
765,11,3.0,4.0,4.0,678.0,1
766,11,,2.0,2.0,1421.0,1
767,11,,2.0,4.0,500.0,1
768,11,,2.0,4.0,440.0,1
769,11,,2.0,4.0,609.0,1
770,11,,2.0,4.0,283.0,1
771,11,,2.0,4.0,226.0,1
772,11,,2.0,2.0,1383.0,1
773,11,,2.0,2.0,534.0,1
774,11,,2.0,4.0,300.0,1
775,11,,,,,1
